,full_address,lat,lon
0,1 Beach Rd,1.3034881,103.8645209
1,1 Bedok Sth Ave 1,1.3177824,103.932945
2,1 Chai Chee Rd,1.3280646,103.9225418
3,1 Changi Village Rd,1.3884846,103.9878738
4,1 Delta Ave,1.2921357,103.8285547
5,1 Dover Rd,1.3025543,103.7833667
6,1 Everton Pk,1.2774492,103.8400579
7,1 Ghim Moh Rd,1.3129253,103.7868073
8,1 Haig Rd,1.3112025,103.8976789
9,1 Hougang Ave 3,1.3641651,103.8929442
10,1 Jln Bt Merah,1.2865434,103.8083586
11,1 Kg Kayu Rd,1.3036012,103.883815
12,1 Lor 7 Toa Payoh,1.339338,103.853378
13,1 Lor Lew Lian,1.350781,103.8752945
14,1 Marine Ter,1.3048678,103.9186134
15,1 Marsiling Dr,1.4406299,103.7757377
16,1 Pine Cl,1.3079191,103.8832694
17,1 Queen'S Rd,1.3173411,103.8067765
18,1 St. George'S Rd,1.3234236,103.8616403
19,1 Teck Whye Ave,1.3825654,103.7517712
20,1 Telok Blangah Cres,1.2795459,103.8179657
21,1 Tg Pagar Plaza,1.2748632,103.8426344
22,1 Toh Yi Dr,1.3395672,103.7747655
23,10 Chai Chee Rd,1.3270163,103.9244409
24,10 Eunos Cres,1.3223009,103.9025671
25,10 Gloucester Rd,1.3139654,103.8521735
26,10 Haig Rd,1.3147479,103.8958407
27,10 Holland Ave,1.3082166,103.7942256
28,10 Jln Batu,1.3020705,103.882909
29,10 Jln Bt Ho Swee,1.2875052,103.8328117
30,10 Jln Kukoh,1.2869588,103.8390615
31,10 Jln Rumah Tinggi,1.288325,103.8084056
32,10 Joo Seng Rd,1.3346786,103.880205
33,10 Lor 7 Toa Payoh,1.3371227,103.8571807
34,10 Marsiling Dr,1.440805,103.777276
35,10 Pine Cl,1.3091671,103.882277
36,10 Selegie Rd,1.3037148,103.8505656
37,10 St. George'S Rd,1.3237886,103.8633858
38,10 Teck Whye Ave,1.380253,103.7554147
39,10 Telok Blangah Cres,1.2778529,103.8197695
40,10 Toh Yi Dr,1.3376784,103.7733174
41,100 Bedok Nth Ave 4,1.334268,103.9387805
42,100 C'Wealth Cres,1.3077219,103.8012952
43,100 Lor 1 Toa Payoh,1.339583,103.8484821
44,100 Whampoa Dr,1.3208134,103.8541891
45,101 Ah Hood Rd,1.327505,103.844521
46,101 Aljunied Cres,1.3209727,103.8834996
47,101 Ang Mo Kio Ave 3,1.3702489,103.8394238
48,101 Bedok Nth Ave 4,1.3344559,103.9379194
49,101 Bedok Reservoir Rd,1.3284164,103.909845
50,101 Bishan St 12,1.3449091,103.8485047
51,101 Bt Batok West Ave 6,1.3466187,103.7468859
52,101 Bt Purmei Rd,1.2715396,103.825747
53,101 C'Wealth Cres,1.3080645,103.8005706
54,101 Clementi St 14,1.322102,103.7688807
55,101 Gangsa Rd,1.3793935,103.7675227
56,101 Henderson Cres,1.2907844,103.8216714
57,101 Hougang Ave 1,1.3552948,103.8914264
58,101 Jln Rajah,1.3288769,103.850839
59,101 Jurong East St 13,1.3370698,103.7388277
60,101 Pasir Ris St 12,1.3670571,103.9581347
61,101 Potong Pasir Ave 1,1.3332085,103.8683714
62,101 Rivervale Walk,1.382678,103.899465
63,101 Serangoon Nth Ave 1,1.3710196,103.8702244
64,101 Simei St 1,1.3411804,103.9518794
